ID,Sentence,CO1,CO2,SY1,SY2,Label
702,The mouse raced around the maze on my desk.,Computer mouse,Rodent in a maze,,,AMB
703,The root of the issue was deep underground.,Fundamental computing problem,Horticulture issue,,,AMB
704,The server at the restaurant managed our data well.,Network server,Restaurant staff,,,AMB
705,"The cloud was fluffy, obscuring the data center's view.",Cloud computing or storage,Meteorological phenomenon,,,AMB
706,The window on my computer let in a breeze.,Computer interface window,Building feature,,,AMB
707,The kernel was a hit at the popcorn stand.,Core of an operating system,Food item,,,AMB
708,The debugger was busy with insects in the garden.,Software debugging tool,Insect control,,,AMB
709,The firewall stood strong against the invading army.,Computer security system,Physical barrier,,,AMB
710,The byte was delicious and satisfying.,Unit of digital information,Small snack,,,AMB
711,The compiler translated my thoughts into action.,Software translation tool,Language interpretation,,,AMB
712,The cookie in the jar disappeared mysteriously.,Web browser data,Baked good,,,AMB
713,The thread held the fabric of time together.,Execution sequence in programming,Sewing material,,,AMB
714,The port was bustling with ships and data.,Network connection point,Maritime location,,,AMB
715,The key unlocked the door to new knowledge.,Solution to a problem,Physical unlocking device,,,AMB
716,The patch on my jeans connected to the network.,Software update,Clothing repair,,,AMB
717,The virus spread rapidly through the school.,Malware,Biological illness,,,AMB
718,The cursor hovered like a bird in the sky.,Pointer on a computer screen,Bird movement,,,AMB
719,The buffer zone around the concert was crowded.,Temporary data storage,Physical area,,,AMB
720,The bus in the network took us to school.,Data transmission method,Public transportation,,,AMB
721,The cache of treasure was found under a tree.,Fast-access data storage,Hidden treasure,,,AMB
722,The token of appreciation granted access to the club.,Security or authentication token,Physical token,,,AMB
723,The link was a strong bond between friends.,Hyperlink,Emotional bond,,,AMB
724,The class was eager to start their lesson.,Programming class or category,Educational setting,,,AMB
725,The object of the game was to find the treasure.,Instance in object-oriented programming,Recreational activity,,,AMB
726,The model of the car was a perfect replica.,Predictive analysis or 3D representation,Scale model,,,AMB
727,The function at the embassy was a grand event.,Software or mathematical function,Social gathering,,,AMB
728,The exception in the rule caused confusion.,Error handling in programming,General exception,,,AMB
729,The queue for the movie was long and winding.,Data processing sequence,Entertainment lineup,,,AMB
730,The algorithm solved the puzzle quickly.,Set of instructions,Puzzle-solving technique,,,AMB
731,The table was set for a feast of data.,Database structure,Meal preparation,,,AMB
732,The header of the page was beautifully decorated.,Introduction in a document or webpage,Artistic design,,,AMB
733,The driver raced to the finish line.,Software that operates hardware,Vehicle operation,,,AMB
734,The platform at the station supported many travelers.,Base for software or hardware,Public infrastructure,,,AMB
735,The utility was a helpful tool in the house.,Software tool or application,Home appliance,,,AMB
736,The terminal was a hub of activity.,Command line or interface,Travel hub,,,AMB
737,The shell on the beach was a perfect specimen.,Command line interface,Sea creature,,,AMB
738,The domain was ruled by a kind king.,Area of control in network systems,Geographical area,,,AMB
739,The process of making bread was fascinating.,Software process,Culinary technique,,,AMB
740,The network of friends gathered for the party.,Online community,Social gathering,,,AMB
741,The string quartet played a lovely melody.,Sequence of commands,Musical performance,,,AMB
742,The cell in the spreadsheet was a biological wonder.,Data storage unit,Biological cell,,,AMB
743,The space in the parking lot was empty.,Memory or storage allocation,Physical vacancy,,,AMB
744,The thread of the conversation was engaging.,Online or software discussion,Conversation topic,,,AMB
745,The web of deceit was spun carefully.,Website or internet navigation,Intrigue or conspiracy,,,AMB
746,The monitor displayed vibrant colors.,Display device,Art display,,,AMB
747,The framework of the house was solid.,Structural or logical design,Building construction,,,AMB
748,The document outlined the plan perfectly.,Software or project specification,Legal or formal document,,,AMB
749,The application at the office handled tasks smoothly.,Software application,Task application,,,AMB
750,Python wrapped around the tree in our latest script.,Python programming language,Animal behavior,,,AMB
751,The Java in the kitchen brewed alongside our code.,Java programming language,Beverage preparation,,,AMB
752,The mouse escaped swiftly across the room and screen.,Computer mouse,Animal movement,,,AMB
753,Digging to the root of the tree solved our system issue.,Fundamental computing problem,Gardening activity,,,AMB
754,The server in the café managed our network efficiently.,Network server,Restaurant staff,,,AMB
755,The cloud obscured the view while storing our data.,Cloud computing or storage,Meteorological phenomenon,,,AMB
756,The open window in the room refreshed the user interface.,Computer interface window,Physical window,,,AMB
757,Popping the kernel in the microwave managed system operations.,Core of an operating system,Cooking activity,,,AMB
758,Debugging in the garden improved the software.,Software debugging tool,Gardening task,,,AMB
759,The firewall stopped the invasion and secured the network.,Computer security system,Physical barrier,,,AMB
760,Taking a byte of the apple increased storage capacity.,Unit of digital information,Food consumption,,,AMB
761,The compiler translated languages and our project requirements.,Software translation tool,Language interpretation,,,AMB
762,The cookie in the jar enhanced web functionality.,Web browser data,Baked good,,,AMB
763,Sewing the thread repaired the fabric and code sequence.,Execution sequence in programming,Sewing activity,,,AMB
764,The busy port connected ships and networks.,Network connection point,Maritime location,,,AMB
765,Unlocking the door with the key provided system access.,Solution to a problem,Physical unlocking device,,,AMB
766,The patch in the field updated the software.,Software update,Agricultural repair,,,AMB
767,The spreading virus affected health and computer systems.,Malware,Health issue,,,AMB
768,The hovering cursor attracted the attention of the bird.,Pointer on a computer screen,Bird behavior,,,AMB
769,The buffer at the concert managed data overflow.,Temporary data storage,Physical area,,,AMB
770,The late bus on the network delayed data transmission.,Data transmission method,Public transportation,,,AMB
771,Finding the cache revealed hidden treasures and improved performance.,Fast-access data storage,Hidden treasure,,,AMB
772,The token at the arcade granted system access.,Security or authentication token,Gaming piece,,,AMB
773,The link in the chain connected online pages.,Hyperlink,Physical connection,,,AMB
774,The class prepared for their next programming lesson.,Programming class or category,Educational setting,,,AMB
775,The ancient object instantiated historical interest.,Instance in object-oriented programming,Historical artifact,,,AMB
776,The model car showcased design principles.,Predictive analysis or 3D representation,Scale model,,,AMB
777,The function at the hotel calculated outcomes.,Software or mathematical function,Social event,,,AMB
778,The exception in the law caught unexpected errors.,Error handling in programming,Legal exception,,,AMB
779,The long queue at the event managed data efficiently.,Data processing line,Service lineup,,,AMB
780,Solving the puzzle with an algorithm was entertaining.,Set of coded instructions,Puzzle solving,,,AMB
781,The dinner table hosted an array of data.,Database structure,Meal arrangement,,,AMB
782,The header in the document introduced the webpage.,Introduction in a document or webpage,Paper decoration,,,AMB
783,The race driver updated the system firmware.,Software that controls hardware,Vehicle operator,,,AMB
784,The crowded platform at the station supported multiple applications.,Base for software or hardware,Public infrastructure,,,AMB
785,The utility tool in the shed fixed the program.,Software tool or application,Handyman equipment,,,AMB
786,The airport terminal managed system access.,Command line or interface,Travel hub,,,AMB
787,Finding the shell on the beach was a scripting success.,Command line interface,Sea creature,,,AMB
788,The domain of the estate controlled internet access.,Area of control in network systems,Geographical area,,,AMB
789,The bread-making process was an interesting algorithm.,Software process,Culinary technique,,,AMB
790,The friends' network provided strong support.,Online community,Social support,,,AMB
791,The string quartet performance solved complex problems.,Sequence of commands,Musical performance,,,AMB
792,The cell in the spreadsheet contributed to scientific research.,Data storage unit,Biological research,,,AMB
793,The empty space in the lot stored vast amounts of data.,Memory or storage allocation,Physical vacancy,,,AMB
794,The thread of the conversation unraveled programming mysteries.,Online or software discussion,Conversation topic,,,AMB
795,The spider's web in the corner detected bugs.,Website or internet navigation,Insect construction,,,AMB
796,The monitor lizard displayed vibrant images.,Display device,Reptile,,,AMB
797,The sturdy framework of the house supported software architecture.,Structural or logical design,Architectural structure,,,AMB
798,The legal document outlined the project requirements.,Software or project specification,Legal document,,,AMB
